Solution option name,Time taken to complete step,Cost of transaction fee,Cost of additional fee,Sender’s Currency,Sender’s country,Recipient’s currency,Recipient’s country,Transaction amount,Settled amount,Sender_id,Receiver_id,Transaction_id,Transacted at timestamp,Cost Ratio,Time Cost Interaction,Transaction Efficiency
Western Union,48,12.795825787096685,0.8499122053630102,GBP,Canada,JPY,USA,4700.639141265498,4686.993403273039,S0,R0,T0,2023-09-21 17:31:38.236761,0.002902953743602197,654.9954236380654,0.9970970462563978
PayPal,33,17.821754330405483,1.2431868873739664,GBP,Japan,JPY,Canada,1981.884678629586,1962.8197374118065,S1,R1,T1,2024-02-03 17:31:38.236781,0.009619601696987883,629.1430601867219,0.990380398303012
PayPal,53,7.299811525538405,2.336711310904362,CAD,Japan,EUR,USA,4118.637522809504,4109.000999973061,S2,R2,T2,2024-04-08 17:31:38.236784,0.002339735600201416,510.73571033146663,0.9976602643997985
ACH,59,12.962072844310212,0.662576444519992,GBP,Canada,CAD,Japan,6153.939548634096,6140.314899345266,S3,R3,T3,2024-07-05 17:31:38.236786,0.0022139719087514074,803.854308040982,0.9977860280912486
Western Union,69,14.32274683199201,1.8489577588897064,EUR,Japan,CAD,USA,356.4692717580991,340.2975671672174,S4,R4,T4,2023-12-17 17:31:38.236788,0.04536633553608479,1115.8476167708384,0.9546336644639152
Western Union,53,13.437299831446513,0.6203598239032644,CAD,Germany,CAD,Japan,9111.339940372065,9097.282280716716,S5,R5,T5,2023-11-04 17:31:38.236790,0.0015428751146755839,745.0559617335382,0.9984571248853245
PayPal,15,9.703241617286455,2.48695114736997,CAD,Canada,EUR,Germany,506.8702660644741,494.68007329981765,S6,R6,T6,2023-10-14 17:31:38.236791,0.024049926738266843,182.85289146984638,0.9759500732617331
SEPA,10,4.579309401710596,2.592649925838798,CAD,Germany,EUR,UK,9234.367503226546,9227.195543898995,S7,R7,T7,2024-03-13 17:31:38.236793,0.0007766595086283349,71.71959327549393,0.9992233404913716
PayPal,56,17.773587618975082,1.7486366434275624,JPY,Canada,JPY,USA,2953.1581949363313,2933.6359706739286,S8,R8,T8,2023-10-31 17:31:38.236795,0.00661062597184149,1093.2445586945482,0.9933893740281585
Western Union,54,7.969158367837021,3.9541042781018105,USD,Canada,JPY,USA,7767.998739107243,7756.075476461304,S9,R9,T9,2024-05-22 17:31:38.236797,0.0015349207751428062,643.8561828806969,0.9984650792248572
ACH,56,13.55670976374325,3.26561439185922,GBP,Canada,GBP,Japan,6138.407752853912,6121.585428698309,S10,R10,T10,2023-12-13 17:31:38.236798,0.0027405028849348295,942.0501527137383,0.9972594971150651
PayPal,16,18.05050151126739,2.0730773594837117,EUR,Germany,USD,Canada,1135.0191416060309,1114.8955627352798,S11,R11,T11,2024-01-07 17:31:38.236800,0.017729726427588362,321.97726193201765,0.9822702735724117
Western Union,10,11.978049371799269,3.900992333861863,CAD,Japan,GBP,UK,8519.355477807621,8503.47643610196,S12,R12,T12,2024-06-05 17:31:38.236801,0.0018638782883312036,158.79041705661132,0.9981361217116689
Western Union,24,8.441580670553808,2.0376777565301953,GBP,Japan,USD,Germany,2176.8481828868826,2166.3689244597986,S13,R13,T13,2024-06-13 17:31:38.236803,0.004813959241377444,251.50220225001607,0.9951860407586226
PayPal,46,10.240798978935373,1.9363402306247042,JPY,USA,CAD,Japan,7604.401157721877,7592.224018512317,S14,R14,T14,2023-11-22 17:31:38.236804,0.0016013278306858945,560.1484036397636,0.9983986721693141
PayPal,37,19.08606948045345,3.3284213284754594,GBP,Canada,GBP,USA,6407.35681380215,6384.942322993221,S15,R15,T15,2023-11-11 17:31:38.236806,0.003498242951078616,829.3361599303697,0.9965017570489213
ACH,59,14.46279499244989,2.3876978467047776,CAD,Canada,CAD,Japan,8112.913520607813,8096.063027768658,S16,R16,T16,2023-09-22 17:31:38.236807,0.0020769964817635876,994.1790775101255,0.9979230035182364
Western Union,36,12.552401252141333,3.363051680728726,USD,Canada,USD,USA,8635.159715912167,8619.244262979297,S17,R17,T17,2024-02-19 17:31:38.236809,0.0018430988489468658,572.9563055833221,0.9981569011510532
Western Union,51,11.388997228247163,3.800183963693817,JPY,UK,USD,USA,3367.3887338034015,3352.1995526114606,S18,R18,T18,2024-01-27 17:31:38.236811,0.004510670549991741,774.6482407889899,0.9954893294500083
PayPal,61,10.209388816901816,2.937064954939259,USD,USA,USD,Japan,7180.2517812595315,7167.10532748769,S19,R19,T19,2023-12-08 17:31:38.236812,0.00183091821461656,801.9336800823056,0.9981690817853834
Western Union,11,13.534827301975199,0.6801756293749628,USD,Japan,GBP,USA,2930.735349518792,2916.520346587442,S20,R20,T20,2023-08-24 17:31:38.236814,0.004850319539662349,156.3650322448518,0.9951496804603376
Western Union,53,12.821181139450191,2.4351258117496477,GBP,USA,EUR,Germany,6008.427894018057,5993.171587066857,S21,R21,T21,2024-02-18 17:31:38.236815,0.0025391512089857813,808.5842684135915,0.9974608487910143
Western Union,47,11.781180725350293,2.7130704070775282,GBP,UK,USD,Japan,6408.591165456768,6394.09691432434,S22,R22,T22,2024-07-21 17:31:38.236817,0.002261690714576072,681.2298032241075,0.997738309285424
PayPal,68,9.424740635198106,0.6427129954416737,USD,UK,USD,Canada,5990.750843244769,5980.68338961413,S23,R23,T23,2023-09-23 17:31:38.236818,0.001680499472280998,684.586846883505,0.998319500527719
Western Union,28,11.53265783479248,0.8366179288199727,GBP,UK,EUR,Japan,9417.127991998119,9404.758716234506,S24,R24,T24,2024-08-13 17:31:38.236820,0.0013134870603991812,346.3397213811487,0.9986865129396008
PayPal,66,8.475155776127657,3.7364276639749696,USD,Germany,GBP,Japan,8797.925663133614,8785.714079693511,S25,R25,T25,2024-08-20 17:31:38.236822,0.0013880071175497008,805.9645070467734,0.9986119928824503
PayPal,66,13.716266586523187,1.4129021119064316,CAD,UK,EUR,Canada,9963.286257627658,9948.157088929229,S26,R26,T26,2024-08-08 17:31:38.236823,0.001518491821596221,998.5251340963548,0.9984815081784038
Western Union,18,10.625327583698365,2.9512524049046993,JPY,Canada,GBP,USA,8497.279193935397,8483.702613946794,S27,R27,T27,2023-12-17 17:31:38.236825,0.001597756138022724,244.37843979485518,0.9984022438619773
ACH,50,14.678174971104738,3.2486922788988024,USD,Canada,CAD,Japan,6756.084896199441,6738.158028949437,S28,R28,T28,2023-09-08 17:31:38.236826,0.002653440198788517,896.3433625001769,0.9973465598012115
Western Union,38,10.690972671587055,1.5687735112053771,USD,UK,GBP,Japan,4959.014785145021,4946.755038962228,S29,R29,T29,2024-05-16 17:31:38.236828,0.0024722140816190183,465.8703549461124,0.997527785918381
PayPal,42,7.234979727001772,2.2286280031420214,JPY,UK,USD,Japan,1952.4625503690224,1942.9989426388786,S30,R30,T30,2024-08-01 17:31:38.236829,0.004847011139012698,397.4715246660393,0.9951529888609872
Western Union,60,15.27232403641664,1.3766163651195444,USD,UK,CAD,USA,5980.73430609333,5964.085365691793,S31,R31,T31,2024-01-10 17:31:38.236831,0.002783761917758795,998.936424092171,0.9972162380822411
PayPal,30,13.534282210367497,2.5191635961922567,GBP,Japan,GBP,UK,5026.673399424866,5010.619953618307,S32,R32,T32,2024-07-13 17:31:38.236833,0.003193652049961418,481.60337419679263,0.9968063479500386
PayPal,44,16.99120218598202,0.6526132011405181,JPY,Japan,GBP,Canada,9946.595005813942,9928.95119042682,S33,R33,T33,2023-12-22 17:31:38.236834,0.0017738548092899578,776.3278770333916,0.9982261451907101
PayPal,50,19.38993401131139,1.6576260663467979,JPY,Japan,GBP,Germany,5617.096674987802,5596.0491149101435,S34,R34,T34,2024-03-27 17:31:38.236836,0.0037470532012347634,1052.3780038829093,0.9962529467987653
Western Union,30,9.481843404954498,1.4396619991155488,USD,UK,CAD,Japan,4955.742767907894,4944.821262503824,S35,R35,T35,2024-04-04 17:31:38.236837,0.0022038079689678178,327.6451621221014,0.9977961920310323
